0,0,8,23,0,13,11,24,0,20,1,0,0,0,0,0,0,0,0,22,0,0,0,18,0
0,20,0,24,0,0,22,0,0,9,0,0,0,7,0,0,0,0,21,0,0,0,0,23,0
0,7,0,0,10,0,25,0,0,0,0,17,22,0,0,0,0,0,20,0,15,19,0,0,1
0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,20,0,0
15,21,0,0,0,4,0,0,0,0,0,13,0,20,24,0,16,0,0,0,0,0,9,2,0
19,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,23,0,0,0,2,0,0
17,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
8,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,0,0,1,0,25,5,0,9,16,0,0,0,11,0,10,0,0,0,12,0,0,0
13,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,6,0,0,0,0,0,5
0,0,22,0,0,0,0,0,8,0,0,0,23,16,0,0,0,0,0,18,0,0,12,20,0
24,12,0,20,0,0,0,0,0,0,13,0,0,0,7,0,0,15,1,0,23,0,0,5,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,3,0,0,0
18,10,0,0,13,0,0,0,0,0,4,0,0,0,9,20,0,0,0,24,6,15,0,0,0
0,0,0,0,6,0,14,0,0,0,0,7,0,0,13,0,0,0,0,1,0,5,0,0,2
10,11,0,0,0,0,16,0,0,22,0,0,0,0,4,0,0,0,15,12,0,0,0,0,0
0,0,5,0,2,0,12,0,6,15,0,21,0,0,0,4,0,0,0,0,0,7,11,0,0
0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0
0,0,0,0,18,21,0,0,0,0,0,0,0,0,0,13,0,0,0,10,0,0,0,0,0
0,17,0,16,22,24,20,12,15,19,0,6,0,8,1,0,0,0,0,0,0,0,13,0,0
0,13,0,10,0,0,0,0,22,17,0,0,0,0,0,0,15,0,19,20,0,6,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,15
0,0,6,1,25,0,0,10,0,0,0,0,20,0,0,0,22,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,4,11,0,7,0,0,0,0,0,0,0,5,23,0,0,0
