16,17,0,24,14,5,19,0,13,23,18,12,0,2,27,4,10,0,0,29,33,6,28,26,22,20,0,0,31,11,0,1,0,9,34,21
28,29,7,33,26,6,30,27,35,10,2,4,15,3,0,0,21,9,22,8,11,0,20,0,25,16,0,0,5,24,18,36,13,19,12,0
23,13,18,12,0,19,6,26,0,28,0,33,8,22,32,11,20,0,2,35,0,30,10,27,0,21,15,1,9,34,25,0,17,5,24,16
21,15,3,0,1,9,5,14,0,16,25,24,29,7,26,33,28,6,18,13,0,19,23,36,2,10,35,0,30,4,22,0,8,0,11,20
20,0,22,11,32,31,9,1,15,21,3,34,0,0,0,12,0,19,25,0,0,5,0,14,7,28,29,26,0,33,2,27,35,0,4,10
10,35,0,4,0,30,31,32,8,0,22,11,17,25,14,24,16,5,3,15,0,0,0,1,18,23,13,36,19,12,0,26,29,0,33,28
0,1,21,15,11,0,3,34,0,5,16,17,26,0,12,29,6,18,23,36,13,0,19,0,0,0,27,33,0,0,20,4,0,2,0,31
0,27,0,0,0,7,2,4,32,31,20,0,14,0,34,17,0,3,0,1,15,0,9,11,23,19,36,0,25,13,0,12,26,0,29,0
19,36,23,13,0,25,18,12,0,0,28,29,32,0,0,8,31,0,0,0,35,7,0,33,21,0,1,11,22,15,16,0,14,3,17,0
6,26,28,29,12,18,7,0,27,30,10,0,0,21,0,15,9,22,20,32,0,0,31,4,0,5,14,34,3,0,23,0,0,25,13,0
31,32,20,8,4,2,22,11,1,9,21,15,0,23,24,13,19,25,16,0,17,3,5,34,0,0,26,12,18,29,0,33,27,7,0,30
5,14,16,0,34,3,0,24,36,19,23,13,27,10,33,0,30,7,28,26,29,18,6,12,20,31,32,0,2,8,0,0,1,22,15,9
13,18,12,6,0,0,26,0,7,29,33,30,22,11,20,9,8,0,4,2,31,27,35,10,34,15,3,0,1,5,24,16,25,14,19,17
0,2,4,31,10,27,32,20,22,8,11,9,25,24,0,0,0,14,34,3,5,1,15,0,12,0,18,0,36,0,33,28,0,26,30,0
17,25,24,19,0,0,36,0,18,13,0,0,0,4,10,31,35,27,33,0,0,0,29,0,11,8,22,0,0,9,34,0,3,1,5,0
0,22,11,0,20,32,1,21,3,15,34,5,18,0,23,6,13,36,0,25,19,0,0,16,33,29,0,28,0,30,4,0,2,0,31,35
15,3,34,5,21,1,14,16,25,0,0,19,7,33,28,30,29,26,0,18,6,36,13,0,0,0,2,10,27,31,11,20,22,32,0,0
29,7,0,30,0,26,27,10,0,0,0,31,3,34,21,5,15,0,11,22,9,0,8,0,24,17,25,16,14,19,0,23,18,0,6,13
0,0,29,7,6,12,0,30,10,27,0,2,21,0,9,0,1,0,0,20,22,4,32,31,17,14,16,5,34,25,13,19,23,24,0,0
32,0,8,22,31,0,11,0,21,1,15,0,23,13,19,18,36,0,0,16,0,34,14,5,29,26,28,6,0,7,35,0,10,33,2,27
27,10,35,2,30,33,0,0,20,32,8,22,16,17,5,25,14,34,0,0,3,11,1,9,13,36,0,19,0,18,29,6,0,12,7,26
14,16,17,0,5,34,24,0,23,36,13,18,10,35,30,2,27,0,29,28,7,0,26,6,8,32,0,31,4,22,15,9,21,0,3,1
36,23,13,0,19,0,12,0,28,26,29,7,0,0,31,22,32,4,35,10,0,0,27,30,15,1,21,0,11,3,0,0,16,34,0,14
0,0,0,0,9,11,34,5,16,14,0,25,0,29,6,7,26,12,13,0,18,24,36,19,35,27,10,30,33,2,8,31,20,4,22,32
25,24,19,36,17,16,23,13,12,0,6,0,4,31,35,32,0,10,30,33,27,28,0,29,9,0,0,8,20,1,5,0,34,21,14,3
2,4,31,0,35,10,20,8,11,22,0,1,24,19,17,36,25,16,5,34,14,0,3,15,6,0,12,13,23,0,30,29,33,28,27,0
0,34,5,0,15,21,16,0,0,25,19,36,33,30,29,27,0,28,0,0,26,23,18,0,31,2,4,0,10,32,0,8,0,20,1,0
18,12,6,26,0,23,28,29,33,7,30,27,11,9,8,1,0,0,31,4,32,0,2,0,5,3,34,15,21,0,19,17,0,0,36,25
0,33,30,27,29,0,0,0,4,2,31,32,0,5,15,0,3,0,9,0,1,20,0,8,19,25,24,17,16,36,6,13,12,23,26,0
22,11,9,1,8,0,0,0,34,0,0,14,12,6,13,26,18,23,19,24,36,16,0,17,0,7,33,29,28,0,31,0,0,10,32,2
11,9,0,21,22,0,15,3,5,34,14,0,6,0,18,28,12,13,0,19,23,17,24,25,27,33,30,7,29,10,32,2,31,0,20,4
12,6,26,28,18,13,0,7,30,33,27,0,9,1,22,0,0,0,32,0,20,35,4,2,14,0,0,3,0,16,36,25,0,17,23,24
4,31,32,0,2,35,8,22,0,11,1,21,19,0,25,0,24,17,14,5,16,15,0,3,26,12,0,18,13,28,27,0,30,29,10,33
33,0,27,0,7,29,35,2,0,0,32,0,5,14,0,16,34,15,1,9,21,8,11,0,0,24,0,25,17,23,0,0,6,0,28,12
0,5,14,16,3,0,17,25,0,24,36,23,0,0,7,10,0,0,26,0,28,0,12,0,32,4,31,2,35,20,1,22,0,8,0,11
24,19,36,23,0,0,13,18,6,12,26,28,31,0,2,20,4,35,27,30,10,0,0,0,1,11,0,0,8,0,14,3,5,15,16,0
